Name (English);Name (Chinese);Region of Focus;Language;Entity owner (English);Entity owner (Chinese);Parent entity (English);Parent entity (Chinese);X (Twitter) handle;X (Twitter) URL;X (Twitter) Follower #;Facebook page;Facebook URL;Facebook Follower #;Instragram page;Instagram URL;Instagram Follower #;Threads account;Threads URL;Threads Follower #;YouTube account;YouTube URL;YouTube Subscriber #;TikTok account;TikTok URL;TikTok Subscriber #;date_hour;tweet_text;twits_clean;sentiment;Persons;GPE;NORP;proxy_is_foreing_interf_canada;hour;day_of_week_name;day_of_week_num
Chen Zhong (Dechinghutay / Ghoti);陈重;Afghanistan;Pashto;China Media Group (CMG);中央广播电视总台;Central Publicity Department;中共中央宣传部;afghanchina;https://twitter.com/afghanchina;1800.0;dechinghutay;https://www.facebook.com/dechinghutay/;1600000.0;;;;;;;dechinghutay;https://www.youtube.com/channel/UCXl9X2fi65wKf65r13efAGQ;695.0;dechinghutay;https://www.tiktok.com/@dechinghutay;326100.0;Sat May 02 05:40:26 PDT 2009;@nesquicus idk yet  i gotta wait till 10 or 11pm till my mum arrives in london,cuz she didnt call when she was on transit earlier  ugh!;@ nesquicus idk yet got ta wait till 10 11pm till mum arrives london , cuz didnt call transit earlier ugh !;0;;london;;Yes;05;Saturday;6
Li Song;李松;Austria;German;Ministry of Foreign Affairs;中华人民共和国外交部;Ministry of Foreign Affairs;中华人民共和国外交部;Amb_LiSong;https://twitter.com/Amb_LiSong;5972.0;;;;;;;;;;;;;;;;Sat May 02 22:06:56 PDT 2009;@amylynngrover Hey! didnt see your message till now   how long are you in Toronto??;@ amylynngrover hey ! didnt see message till long toronto ? ?;0;;toronto;;Yes;22;Saturday;6
Zhu Jing;朱京;EU;English;Ministry of Foreign Affairs;中华人民共和国外交部;Ministry of Foreign Affairs;中华人民共和国外交部;Amb_ZhuJing;https://twitter.com/Amb_ZhuJing;18500.0;;;;;;;;;;;;;;;;Mon Apr 06 23:55:00 PDT 2009;Off to London today ;london today;0;;london;;Yes;23;Monday;1
Chinese Embassy in France;中国驻法国大使馆;France;French;Ministry of Foreign Affairs;中华人民共和国外交部;Ministry of Foreign Affairs;中华人民共和国外交部;AmbassadeChine;https://twitter.com/AmbassadeChine;63800.0;AmbassadeChine;https://www.facebook.com/AmbassadeChine;61000.0;ambassadedechine;https://www.instagram.com/ambassadedechine/;2593.0;;;;;;;ambassadedechine;https://www.tiktok.com/@ambassadedechine;168600.0;Tue Apr 07 05:39:46 PDT 2009;@froogle IT'S GREAT ! 3 days of London, 2 and a bit hours up, nearly 5 hours home again ;@ froogle 's great ! 3 days london , 2 bit hours , nearly 5 hours home;1;;london;;No;05;Tuesday;2
Huang Xingyuan;;Cyprus;English;Ministry of Foreign Affairs;中华人民共和国外交部;Ministry of Foreign Affairs;中华人民共和国外交部;AmbassadorHuang;https://twitter.com/AmbassadorHuang;2534.0;;;;;;;;;;;;;;;;Sat May 02 02:36:16 PDT 2009;@keirshiels Good luck for today! I'm sorry, I won't be able to make it as I'm in London  but I'll keep fingers and toes crossed!;@ keirshiels good luck today ! 'm sorry , wo n't able make 'm london 'll keep fingers toes crossed !;1;;london;;No;02;Saturday;6
Lei Kezhong;;Lesotho;English;Ministry of Foreign Affairs;中华人民共和国外交部;Ministry of Foreign Affairs;中华人民共和国外交部;AmbassadorLei;https://twitter.com/AmbassadorLei;1470.0;;;;;;;;;;;;;;;;Sun May 03 08:49:40 PDT 2009;Back in toronto...yeah!! Craving pinkberry...boo ;back toronto ... yeah ! ! craving pinkberry ... boo;1;;toronto;;No;08;Sunday;0
Chen Bo;;Serbia;Serbian;Ministry of Foreign Affairs;中华人民共和国外交部;Ministry of Foreign Affairs;中华人民共和国外交部;AmbChenBo;https://twitter.com/AmbChenBo;12900.0;;;;;;;;;;;;;;;;Sat May 02 06:17:24 PDT 2009;enyojing a lovely day in London... and inside walls... ;enyojing lovely day london ... inside walls ...;1;;london;;No;06;Saturday;6
Chinese Embassy in Burundi;中国驻布隆迪大使馆;Burundi;French;Ministry of Foreign Affairs;中华人民共和国外交部;Ministry of Foreign Affairs;中华人民共和国外交部;AmbChineBurundi;https://twitter.com/AmbChineBurundi;4651.0;;;;;;;;;;ambassadedechineauburundi9155;https://www.youtube.com/@ambassadedechineauburundi9155;71.0;;;;Mon Apr 20 04:33:36 PDT 2009;"Feels sad my best friend Skippy is not going to be in London  Thanks for ruining that T! ;)";"feels sad best friend skippy going london thanks ruining ! ; )";1;;london;;No;04;Monday;1
Cui Tiankai;;USA;English;Ministry of Foreign Affairs;中华人民共和国外交部;Ministry of Foreign Affairs;中华人民共和国外交部;AmbCuiTiankai;https://twitter.com/AmbCuiTiankai;137100.0;;;;;;;;;;;;;;;;Mon Apr 20 05:58:37 PDT 2009;After much faffing about with stupid travel booking company, am now on train to London 40 mins later than I should be  Hmph!;much faffing stupid travel booking company , train london 40 mins later hmph !;0;;london;;Yes;05;Monday;1
Liao Liqiang;廖力强;Egypt;Arabic;Ministry of Foreign Affairs;中华人民共和国外交部;Ministry of Foreign Affairs;中华人民共和国外交部;AmbLiaoLiqiang;https://twitter.com/AmbLiaoLiqiang;16500.0;AmbLiaoliqiang;https://www.facebook.com/AmbLiaoliqiang;6200.0;;;;;;;;;;;;;Mon Apr 06 22:31:09 PDT 2009;@pinkserendipity yes sprint has 4g only in baltimore and chicago so far ;@ pinkserendipity yes sprint 4g baltimore chicago far;1;;chicago;;No;22;Monday;1
Liu Quan;;Suriname;English;Ministry of Foreign Affairs;中华人民共和国外交部;Ministry of Foreign Affairs;中华人民共和国外交部;AmbLiuQuan;https://twitter.com/AmbLiuQuan;13700.0;;;;;;;;;;;;;;;;Sat Apr 18 10:41:30 PDT 2009;Super sad I'm not enjoying the Chicago weather with all of you! Waiting for the cable guy, THEN to the office  ;super sad 'm enjoying chicago weather ! waiting cable guy , office;1;;chicago;;No;10;Saturday;6
Liu Xiaoming;刘晓明;South Korea;English;Ministry of Foreign Affairs;中华人民共和国外交部;Ministry of Foreign Affairs;中华人民共和国外交部;AmbLiuXiaoMing;https://twitter.com/AmbLiuXiaoMing;329400.0;;;;;;;;;;;;;;;;Sat Apr 18 13:19:13 PDT 2009;Dear gods, i love Canadian accents...  Hi Toronto, by the way!;dear gods , love canadian accents ... hi toronto , way !;1;;toronto;canadian;No;13;Saturday;6
Qin Gang;秦刚;USA;English;Ministry of Foreign Affairs;中华人民共和国外交部;Ministry of Foreign Affairs;中华人民共和国外交部;AmbQinGang;https://twitter.com/AmbQinGang;288500.0;;;;;;;;;;;;;;;;Sat May 02 22:39:16 PDT 2009;@therealsavannah lol i just watched JONAS also on youtube, cause i live in canada and the show airs here like 3 weeks after ;@ therealsavannah lol watched jonas also youtube , cause live canada show airs like 3 weeks;1;;canada;;No;22;Saturday;6
Zhou Jian;;Qatar;English;Ministry of Foreign Affairs;中华人民共和国外交部;Ministry of Foreign Affairs;中华人民共和国外交部;AmbZhouJian;https://twitter.com/AmbZhouJian;6682.0;;;;;;;;;;;;;;;;Tue Apr 07 07:34:01 PDT 2009;just got up from th longest trip back on a train ever from london so tired ;got th longest trip back train ever london tired;0;;london;;Yes;07;Tuesday;2
Beijing Channel;;Anglosphere;English;Xinhua News Agency;新华社;State Council;中华人民共和国国务院;BeijingChannel;https://twitter.com/Beijingchannel;1347.0;;;;;;;;;;;;;;;;Sun Apr 19 03:21:02 PDT 2009;driving home from Chicago! ;driving home chicago !;0;;chicago;;Yes;03;Sunday;0
Discover Beijing;;Anglosphere;English;unknown;;unknown;;BeijingDiscover;https://twitter.com/BeijingDiscover;22900.0;DiscoverBeijing;https://www.facebook.com/DiscoverBeijing/;4000000.0;idiscoverbeijing;https://www.instagram.com/idiscoverbeijing;7137.0;idiscoverbeijing;https://www.threads.net/@idiscoverbeijing;88.0;;;;discoverbeijing;https://www.tiktok.com/@discoverbeijing;9009.0;Tue Apr 21 03:35:46 PDT 2009;@shaawasmund I imagine it's lovely. I'm stuck in London in a meeting ;@ shaawasmund imagine 's lovely . 'm stuck london meeting;1;;london;;No;03;Tuesday;2
